measurement,cell_type,cell_name,sample_name,gene_symbol,observation
0.4729,Cellline,RMS,RMS.C8,182-FIP,39
0.0995,Cellline,RMS,RMS.C9,182-FIP,40
0.6117,Tumor,EWS,EWS.T1,182-FIP,41
0.6016,Tumor,EWS,EWS.T11,182-FIP,42
0.4966,Tumor,EWS,EWS.T12,182-FIP,43
0.2289,Tumor,EWS,EWS.T13,182-FIP,44
0.224,Tumor,EWS,EWS.T14,182-FIP,45
0.2265,Tumor,EWS,EWS.T15,182-FIP,46
0.6015,Tumor,EWS,EWS.T19,182-FIP,47
0.6651,Tumor,EWS,EWS.T2,182-FIP,48
0.5913,Tumor,EWS,EWS.T3,182-FIP,49
0.2893,Tumor,EWS,EWS.T4,182-FIP,50
0.2473,Tumor,EWS,EWS.T6,182-FIP,51
0.4053,Tumor,EWS,EWS.T7,182-FIP,52
0.4216,Tumor,EWS,EWS.T9,182-FIP,53
0.8648,Tumor,RMS,RMS.T1,182-FIP,54
0.7046,Tumor,RMS,RMS.T10,182-FIP,55
0.3132,Tumor,RMS,RMS.T11,182-FIP,56
0.9494,Tumor,RMS,RMS.T2,182-FIP,57
0.4047,Tumor,RMS,RMS.T3,182-FIP,58
0.613,Tumor,RMS,RMS.T4,182-FIP,59
0.3552,Tumor,RMS,RMS.T5,182-FIP,60
0.5283,Tumor,RMS,RMS.T6,182-FIP,61
0.6201,Tumor,RMS,RMS.T7,182-FIP,62
0.3623,Tumor,RMS,RMS.T8,182-FIP,63
0.4059,Tumor,RMS,RMS.T9,182-FIP,64
2.0471,Cellline,BL-NHL,BL.C1,ACADM,65
0.8876,Cellline,BL-NHL,BL.C2,ACADM,66
2.252,Cellline,BL-NHL,BL.C3,ACADM,67
1.6762,Cellline,BL-NHL,BL.C4,ACADM,68
0.9331,Cellline,BL-NHL,BL.C5,ACADM,69
1.5294,Cellline,BL-NHL,BL.C6,ACADM,70
3.3888,Cellline,BL-NHL,BL.C7,ACADM,71
2.1794,Cellline,BL-NHL,BL.C8,ACADM,72
0.3907,Cellline,EWS,EWS.C1,ACADM,73
0.1216,Cellline,EWS,EWS.C10,ACADM,74
0.1303,Cellline,EWS,EWS.C11,ACADM,75
0.7229,Cellline,EWS,EWS.C2,ACADM,76
0.3855,Cellline,EWS,EWS.C3,ACADM,77
1.3891,Cellline,EWS,EWS.C4,ACADM,78
0.2954,Cellline,EWS,EWS.C6,ACADM,79
0.336,Cellline,EWS,EWS.C7,ACADM,80
0.1166,Cellline,EWS,EWS.C8,ACADM,81
0.2703,Cellline,EWS,EWS.C9,ACADM,82
0.9022,Cellline,NB,NB.C1,ACADM,83
1.1673,Cellline,NB,NB.C10,ACADM,84
0.6303,Cellline,NB,NB.C11,ACADM,85
1.559,Cellline,NB,NB.C12,ACADM,86
0.622,Cellline,NB,NB.C2,ACADM,87
0.694,Cellline,NB,NB.C3,ACADM,88
0.6282,Cellline,NB,NB.C4,ACADM,89
0.2334,Cellline,NB,NB.C5,ACADM,90
1.4656,Cellline,NB,NB.C6,ACADM,91
0.5079,Cellline,NB,NB.C7,ACADM,92
0.5094,Cellline,NB,NB.C8,ACADM,93
1.3515,Cellline,NB,NB.C9,ACADM,94
0.5115,Cellline,RMS,RMS.C10,ACADM,95
1.2802,Cellline,RMS,RMS.C11,ACADM,96
0.4734,Cellline,RMS,RMS.C2,ACADM,97
0.5661,Cellline,RMS,RMS.C3,ACADM,98
0.8351,Cellline,RMS,RMS.C4,ACADM,99
0.3806,Cellline,RMS,RMS.C5,ACADM,100
0.6988,Cellline,RMS,RMS.C6,ACADM,101
0.4599,Cellline,RMS,RMS.C7,ACADM,102
0.8166,Cellline,RMS,RMS.C8,ACADM,103
0.1475,Cellline,RMS,RMS.C9,ACADM,104
0.8364,Tumor,EWS,EWS.T1,ACADM,105
0.5201,Tumor,EWS,EWS.T11,ACADM,106
0.8467,Tumor,EWS,EWS.T12,ACADM,107
0.5299,Tumor,EWS,EWS.T13,ACADM,108
0.7148,Tumor,EWS,EWS.T14,ACADM,109
0.4608,Tumor,EWS,EWS.T15,ACADM,110
0.4286,Tumor,EWS,EWS.T19,ACADM,111
0.7572,Tumor,EWS,EWS.T2,ACADM,112
0.6875,Tumor,EWS,EWS.T3,ACADM,113
1.0051,Tumor,EWS,EWS.T4,ACADM,114
0.518,Tumor,EWS,EWS.T6,ACADM,115
0.8967,Tumor,EWS,EWS.T7,ACADM,116
0.6001,Tumor,EWS,EWS.T9,ACADM,117
0.5447,Tumor,RMS,RMS.T1,ACADM,118
0.6011,Tumor,RMS,RMS.T10,ACADM,119
0.2843,Tumor,RMS,RMS.T11,ACADM,120
0.7162,Tumor,RMS,RMS.T2,ACADM,121
0.6972,Tumor,RMS,RMS.T3,ACADM,122
1.5389,Tumor,RMS,RMS.T4,ACADM,123
0.5615,Tumor,RMS,RMS.T5,ACADM,124
0.6169,Tumor,RMS,RMS.T6,ACADM,125
0.9605,Tumor,RMS,RMS.T7,ACADM,126
0.6615,Tumor,RMS,RMS.T8,ACADM,127
0.454,Tumor,RMS,RMS.T9,ACADM,128
2.6057,Cellline,BL-NHL,BL.C1,ACTA2,129
4.6451,Cellline,BL-NHL,BL.C2,ACTA2,130
3.7836,Cellline,BL-NHL,BL.C3,ACTA2,131
4.5371,Cellline,BL-NHL,BL.C4,ACTA2,132
5.6922,Cellline,BL-NHL,BL.C5,ACTA2,133
5.4986,Cellline,BL-NHL,BL.C6,ACTA2,134
5.5742,Cellline,BL-NHL,BL.C7,ACTA2,135
6.3424,Cellline,BL-NHL,BL.C8,ACTA2,136
0.2174,Cellline,EWS,EWS.C1,ACTA2,137
0.717,Cellline,EWS,EWS.C10,ACTA2,138
0.7016,Cellline,EWS,EWS.C11,ACTA2,139
0.152,Cellline,EWS,EWS.C2,ACTA2,140
0.2527,Cellline,EWS,EWS.C3,ACTA2,141
0.2325,Cellline,EWS,EWS.C4,ACTA2,142
1.024,Cellline,EWS,EWS.C6,ACTA2,143
0.9412,Cellline,EWS,EWS.C7,ACTA2,144
1.7996,Cellline,EWS,EWS.C8,ACTA2,145
0.9266,Cellline,EWS,EWS.C9,ACTA2,146
0.2855,Cellline,NB,NB.C1,ACTA2,147
0.9195,Cellline,NB,NB.C10,ACTA2,148
1.1112,Cellline,NB,NB.C11,ACTA2,149
1.1962,Cellline,NB,NB.C12,ACTA2,150
0.5492,Cellline,NB,NB.C2,ACTA2,151
0.4919,Cellline,NB,NB.C3,ACTA2,152
0.4299,Cellline,NB,NB.C4,ACTA2,153
0.9911,Cellline,NB,NB.C5,ACTA2,154
0.9275,Cellline,NB,NB.C6,ACTA2,155
1.5254,Cellline,NB,NB.C7,ACTA2,156
0.9492,Cellline,NB,NB.C8,ACTA2,157
1.2275,Cellline,NB,NB.C9,ACTA2,158
1.2589,Cellline,RMS,RMS.C10,ACTA2,159
0.1995,Cellline,RMS,RMS.C11,ACTA2,160
1.5025,Cellline,RMS,RMS.C2,ACTA2,161
0.9728,Cellline,RMS,RMS.C3,ACTA2,162
0.06,Cellline,RMS,RMS.C4,ACTA2,163
0.9575,Cellline,RMS,RMS.C5,ACTA2,164
0.336,Cellline,RMS,RMS.C6,ACTA2,165
0.3742,Cellline,RMS,RMS.C7,ACTA2,166
0.2133,Cellline,RMS,RMS.C8,ACTA2,167
1.9792,Cellline,RMS,RMS.C9,ACTA2,168
2.2954,Tumor,EWS,EWS.T1,ACTA2,169
1.4026,Tumor,EWS,EWS.T11,ACTA2,170
1.2173,Tumor,EWS,EWS.T12,ACTA2,171
8.2478,Tumor,EWS,EWS.T13,ACTA2,172
1.9692,Tumor,EWS,EWS.T14,ACTA2,173
2.5982,Tumor,EWS,EWS.T15,ACTA2,174
1.0306,Tumor,EWS,EWS.T19,ACTA2,175
0.5669,Tumor,EWS,EWS.T2,ACTA2,176
1.3705,Tumor,EWS,EWS.T3,ACTA2,177
3.806,Tumor,EWS,EWS.T4,ACTA2,178
4.1264,Tumor,EWS,EWS.T6,ACTA2,179
0.8568,Tumor,EWS,EWS.T7,ACTA2,180
1.7984,Tumor,EWS,EWS.T9,ACTA2,181
3.0731,Tumor,RMS,RMS.T1,ACTA2,182
1.2334,Tumor,RMS,RMS.T10,ACTA2,183
0.1954,Tumor,RMS,RMS.T11,ACTA2,184
1.9517,Tumor,RMS,RMS.T2,ACTA2,185
0.5389,Tumor,RMS,RMS.T3,ACTA2,186
2.529,Tumor,RMS,RMS.T4,ACTA2,187
4.2851,Tumor,RMS,RMS.T5,ACTA2,188
1.0136,Tumor,RMS,RMS.T6,ACTA2,189
0.2878,Tumor,RMS,RMS.T7,ACTA2,190
3.3789,Tumor,RMS,RMS.T8,ACTA2,191
2.0228,Tumor,RMS,RMS.T9,ACTA2,192
1.2917,Cellline,BL-NHL,BL.C1,ADA,193
1.3825,Cellline,BL-NHL,BL.C2,ADA,194
2.3771,Cellline,BL-NHL,BL.C3,ADA,195
1.5673,Cellline,BL-NHL,BL.C4,ADA,196
0.4943,Cellline,BL-NHL,BL.C5,ADA,197
0.8568,Cellline,BL-NHL,BL.C6,ADA,198
0.6847,Cellline,BL-NHL,BL.C7,ADA,199
0.689,Cellline,BL-NHL,BL.C8,ADA,200
0.2635,Cellline,EWS,EWS.C1,ADA,201
0.5784,Cellline,EWS,EWS.C10,ADA,202
0.3755,Cellline,EWS,EWS.C11,ADA,203
0.1722,Cellline,EWS,EWS.C2,ADA,204
0.2961,Cellline,EWS,EWS.C3,ADA,205
0.4964,Cellline,EWS,EWS.C4,ADA,206
0.562,Cellline,EWS,EWS.C6,ADA,207
0.3377,Cellline,EWS,EWS.C7,ADA,208
0.1332,Cellline,EWS,EWS.C8,ADA,209
0.5165,Cellline,EWS,EWS.C9,ADA,210
0.0978,Cellline,NB,NB.C1,ADA,211
0.1571,Cellline,NB,NB.C10,ADA,212
0.2005,Cellline,NB,NB.C11,ADA,213
0.1378,Cellline,NB,NB.C12,ADA,214
0.1253,Cellline,NB,NB.C2,ADA,215
0.2769,Cellline,NB,NB.C3,ADA,216
0.1747,Cellline,NB,NB.C4,ADA,217
0.1588,Cellline,NB,NB.C5,ADA,218
0.5708,Cellline,NB,NB.C6,ADA,219
0.8908,Cellline,NB,NB.C7,ADA,220
0.1254,Cellline,NB,NB.C8,ADA,221
0.2128,Cellline,NB,NB.C9,ADA,222
0.6753,Cellline,RMS,RMS.C10,ADA,223
0.7728,Cellline,RMS,RMS.C11,ADA,224
1.3263,Cellline,RMS,RMS.C2,ADA,225
0.6308,Cellline,RMS,RMS.C3,ADA,226
0.1336,Cellline,RMS,RMS.C4,ADA,227
0.2538,Cellline,RMS,RMS.C5,ADA,228
0.1834,Cellline,RMS,RMS.C6,ADA,229
0.4737,Cellline,RMS,RMS.C7,ADA,230
0.4671,Cellline,RMS,RMS.C8,ADA,231
1.2848,Cellline,RMS,RMS.C9,ADA,232
0.3113,Tumor,EWS,EWS.T1,ADA,233
0.3281,Tumor,EWS,EWS.T11,ADA,234
0.2141,Tumor,EWS,EWS.T12,ADA,235
0.8113,Tumor,EWS,EWS.T13,ADA,236
0.6046,Tumor,EWS,EWS.T14,ADA,237
0.2847,Tumor,EWS,EWS.T15,ADA,238
0.2897,Tumor,EWS,EWS.T19,ADA,239
0.4783,Tumor,EWS,EWS.T2,ADA,240
0.2343,Tumor,EWS,EWS.T3,ADA,241
0.2074,Tumor,EWS,EWS.T4,ADA,242
0.3677,Tumor,EWS,EWS.T6,ADA,243
0.3477,Tumor,EWS,EWS.T7,ADA,244
0.4582,Tumor,EWS,EWS.T9,ADA,245
0.1803,Tumor,RMS,RMS.T1,ADA,246
0.8485,Tumor,RMS,RMS.T10,ADA,247
1.4831,Tumor,RMS,RMS.T11,ADA,248
0.1691,Tumor,RMS,RMS.T2,ADA,249
0.2453,Tumor,RMS,RMS.T3,ADA,250
0.4503,Tumor,RMS,RMS.T4,ADA,251
0.4593,Tumor,RMS,RMS.T5,ADA,252
0.8035,Tumor,RMS,RMS.T6,ADA,253
0.275,Tumor,RMS,RMS.T7,ADA,254
1.1217,Tumor,RMS,RMS.T8,ADA,255
0.799,Tumor,RMS,RMS.T9,ADA,256
0.1011,Cellline,BL-NHL,BL.C1,AF1Q,257
0.2187,Cellline,BL-NHL,BL.C2,AF1Q,258
0.2607,Cellline,BL-NHL,BL.C3,AF1Q,259
0.196,Cellline,BL-NHL,BL.C4,AF1Q,260
0.1458,Cellline,BL-NHL,BL.C5,AF1Q,261
0.7374,Cellline,BL-NHL,BL.C6,AF1Q,262
0.2586,Cellline,BL-NHL,BL.C7,AF1Q,263
0.1561,Cellline,BL-NHL,BL.C8,AF1Q,264
2.0774,Cellline,EWS,EWS.C1,AF1Q,265
0.9227,Cellline,EWS,EWS.C10,AF1Q,266
1.6721,Cellline,EWS,EWS.C11,AF1Q,267
1.4635,Cellline,EWS,EWS.C2,AF1Q,268
0.7504,Cellline,EWS,EWS.C3,AF1Q,269
0.437,Cellline,EWS,EWS.C4,AF1Q,270
0.8376,Cellline,EWS,EWS.C6,AF1Q,271
0.8579,Cellline,EWS,EWS.C7,AF1Q,272
1.5151,Cellline,EWS,EWS.C8,AF1Q,273
0.81,Cellline,EWS,EWS.C9,AF1Q,274
4.0021,Cellline,NB,NB.C1,AF1Q,275
3.0138,Cellline,NB,NB.C10,AF1Q,276
2.3583,Cellline,NB,NB.C11,AF1Q,277
5.9451,Cellline,NB,NB.C12,AF1Q,278
3.0807,Cellline,NB,NB.C2,AF1Q,279
3.806,Cellline,NB,NB.C3,AF1Q,280
3.4142,Cellline,NB,NB.C4,AF1Q,281
3.507,Cellline,NB,NB.C5,AF1Q,282
2.2816,Cellline,NB,NB.C6,AF1Q,283
1.8712,Cellline,NB,NB.C7,AF1Q,284
2.8745,Cellline,NB,NB.C8,AF1Q,285
3.9043,Cellline,NB,NB.C9,AF1Q,286
0.9223,Cellline,RMS,RMS.C10,AF1Q,287
0.6787,Cellline,RMS,RMS.C11,AF1Q,288
2.0277,Cellline,RMS,RMS.C2,AF1Q,289
0.5306,Cellline,RMS,RMS.C3,AF1Q,290
0.8622,Cellline,RMS,RMS.C4,AF1Q,291
1.105,Cellline,RMS,RMS.C5,AF1Q,292
1.823,Cellline,RMS,RMS.C6,AF1Q,293
0.8602,Cellline,RMS,RMS.C7,AF1Q,294
0.6992,Cellline,RMS,RMS.C8,AF1Q,295
0.4153,Cellline,RMS,RMS.C9,AF1Q,296
0.1831,Tumor,EWS,EWS.T1,AF1Q,297
0.5303,Tumor,EWS,EWS.T11,AF1Q,298
0.1999,Tumor,EWS,EWS.T12,AF1Q,299
0.2173,Tumor,EWS,EWS.T13,AF1Q,300
0.1353,Tumor,EWS,EWS.T14,AF1Q,301
0.4031,Tumor,EWS,EWS.T15,AF1Q,302
0.6329,Tumor,EWS,EWS.T19,AF1Q,303
0.9324,Tumor,EWS,EWS.T2,AF1Q,304
0.2683,Tumor,EWS,EWS.T3,AF1Q,305
0.6081,Tumor,EWS,EWS.T4,AF1Q,306
0.2854,Tumor,EWS,EWS.T6,AF1Q,307
0.3732,Tumor,EWS,EWS.T7,AF1Q,308
0.4885,Tumor,EWS,EWS.T9,AF1Q,309
0.8501,Tumor,RMS,RMS.T1,AF1Q,310
0.7529,Tumor,RMS,RMS.T10,AF1Q,311
0.2495,Tumor,RMS,RMS.T11,AF1Q,312
0.4317,Tumor,RMS,RMS.T2,AF1Q,313
1.0611,Tumor,RMS,RMS.T3,AF1Q,314
0.4481,Tumor,RMS,RMS.T4,AF1Q,315
0.6356,Tumor,RMS,RMS.T5,AF1Q,316
0.3335,Tumor,RMS,RMS.T6,AF1Q,317
0.167,Tumor,RMS,RMS.T7,AF1Q,318
0.2994,Tumor,RMS,RMS.T8,AF1Q,319
0.4747,Tumor,RMS,RMS.T9,AF1Q,320
0.2614,Cellline,BL-NHL,BL.C1,AIF1,321
0.1205,Cellline,BL-NHL,BL.C2,AIF1,322
0.1577,Cellline,BL-NHL,BL.C3,AIF1,323
0.5308,Cellline,BL-NHL,BL.C4,AIF1,324
0.2225,Cellline,BL-NHL,BL.C5,AIF1,325
0.165,Cellline,BL-NHL,BL.C6,AIF1,326
0.1796,Cellline,BL-NHL,BL.C7,AIF1,327
0.1451,Cellline,BL-NHL,BL.C8,AIF1,328
0.0427,Cellline,EWS,EWS.C1,AIF1,329
0.1086,Cellline,EWS,EWS.C10,AIF1,330
0.4071,Cellline,EWS,EWS.C11,AIF1,331
0.0886,Cellline,EWS,EWS.C2,AIF1,332
0.1656,Cellline,EWS,EWS.C3,AIF1,333
0.1138,Cellline,EWS,EWS.C4,AIF1,334
0.6976,Cellline,EWS,EWS.C6,AIF1,335
0.3339,Cellline,EWS,EWS.C7,AIF1,336
0.1764,Cellline,EWS,EWS.C8,AIF1,337
0.6412,Cellline,EWS,EWS.C9,AIF1,338
0.0807,Cellline,NB,NB.C1,AIF1,339
0.2363,Cellline,NB,NB.C10,AIF1,340
0.2081,Cellline,NB,NB.C11,AIF1,341
0.0822,Cellline,NB,NB.C12,AIF1,342
0.2249,Cellline,NB,NB.C2,AIF1,343
0.2597,Cellline,NB,NB.C3,AIF1,344
0.043,Cellline,NB,NB.C4,AIF1,345
0.0607,Cellline,NB,NB.C5,AIF1,346
0.4571,Cellline,NB,NB.C6,AIF1,347
0.9627,Cellline,NB,NB.C7,AIF1,348
0.1017,Cellline,NB,NB.C8,AIF1,349
0.0438,Cellline,NB,NB.C9,AIF1,350
0.7649,Cellline,RMS,RMS.C10,AIF1,351
0.0739,Cellline,RMS,RMS.C11,AIF1,352
0.9751,Cellline,RMS,RMS.C2,AIF1,353
0.376,Cellline,RMS,RMS.C3,AIF1,354
0.1801,Cellline,RMS,RMS.C4,AIF1,355
0.3196,Cellline,RMS,RMS.C5,AIF1,356
0.1848,Cellline,RMS,RMS.C6,AIF1,357
0.0997,Cellline,RMS,RMS.C7,AIF1,358
0.0775,Cellline,RMS,RMS.C8,AIF1,359
0.7021,Cellline,RMS,RMS.C9,AIF1,360
0.4206,Tumor,EWS,EWS.T1,AIF1,361
0.3769,Tumor,EWS,EWS.T11,AIF1,362
0.2856,Tumor,EWS,EWS.T12,AIF1,363
2.1156,Tumor,EWS,EWS.T13,AIF1,364
0.6193,Tumor,EWS,EWS.T14,AIF1,365
0.2452,Tumor,EWS,EWS.T15,AIF1,366
0.4718,Tumor,EWS,EWS.T19,AIF1,367
0.4973,Tumor,EWS,EWS.T2,AIF1,368
0.5676,Tumor,EWS,EWS.T3,AIF1,369
0.6207,Tumor,EWS,EWS.T4,AIF1,370
0.4359,Tumor,EWS,EWS.T6,AIF1,371
0.2895,Tumor,EWS,EWS.T7,AIF1,372
0.4683,Tumor,EWS,EWS.T9,AIF1,373
0.5335,Tumor,RMS,RMS.T1,AIF1,374
0.3559,Tumor,RMS,RMS.T10,AIF1,375
11.59,Tumor,RMS,RMS.T11,AIF1,376
0.3128,Tumor,RMS,RMS.T2,AIF1,377
0.2762,Tumor,RMS,RMS.T3,AIF1,378
0.7187,Tumor,RMS,RMS.T4,AIF1,379
0.4803,Tumor,RMS,RMS.T5,AIF1,380
0.799,Tumor,RMS,RMS.T6,AIF1,381
0.7607,Tumor,RMS,RMS.T7,AIF1,382
1.3448,Tumor,RMS,RMS.T8,AIF1,383
2.133,Tumor,RMS,RMS.T9,AIF1,384
0.192,Cellline,BL-NHL,BL.C1,AKAP12,385
0.0879,Cellline,BL-NHL,BL.C2,AKAP12,386
0.1423,Cellline,BL-NHL,BL.C3,AKAP12,387
0.0888,Cellline,BL-NHL,BL.C4,AKAP12,388
0.0793,Cellline,BL-NHL,BL.C5,AKAP12,389
0.0403,Cellline,BL-NHL,BL.C6,AKAP12,390
0.054,Cellline,BL-NHL,BL.C7,AKAP12,391
0.0545,Cellline,BL-NHL,BL.C8,AKAP12,392
0.0644,Cellline,EWS,EWS.C1,AKAP12,393
0.044,Cellline,EWS,EWS.C10,AKAP12,394
0.0442,Cellline,EWS,EWS.C11,AKAP12,395
0.0408,Cellline,EWS,EWS.C2,AKAP12,396
0.0639,Cellline,EWS,EWS.C3,AKAP12,397
0.3355,Cellline,EWS,EWS.C4,AKAP12,398
0.0903,Cellline,EWS,EWS.C6,AKAP12,399
0.1261,Cellline,EWS,EWS.C7,AKAP12,400
0.0811,Cellline,EWS,EWS.C8,AKAP12,401
0.0825,Cellline,EWS,EWS.C9,AKAP12,402
0.281,Cellline,NB,NB.C1,AKAP12,403
0.8911,Cellline,NB,NB.C10,AKAP12,404
0.3316,Cellline,NB,NB.C11,AKAP12,405
1.2736,Cellline,NB,NB.C12,AKAP12,406
0.3041,Cellline,NB,NB.C2,AKAP12,407
0.21,Cellline,NB,NB.C3,AKAP12,408
0.2922,Cellline,NB,NB.C4,AKAP12,409
0.5428,Cellline,NB,NB.C5,AKAP12,410
0.5018,Cellline,NB,NB.C6,AKAP12,411
0.1389,Cellline,NB,NB.C7,AKAP12,412
1.2023,Cellline,NB,NB.C8,AKAP12,413
0.5615,Cellline,NB,NB.C9,AKAP12,414
0.4176,Cellline,RMS,RMS.C10,AKAP12,415
0.0964,Cellline,RMS,RMS.C11,AKAP12,416
0.1219,Cellline,RMS,RMS.C2,AKAP12,417
0.211,Cellline,RMS,RMS.C3,AKAP12,418
0.3587,Cellline,RMS,RMS.C4,AKAP12,419
0.5926,Cellline,RMS,RMS.C5,AKAP12,420
0.2476,Cellline,RMS,RMS.C6,AKAP12,421
0.2431,Cellline,RMS,RMS.C7,AKAP12,422
0.163,Cellline,RMS,RMS.C8,AKAP12,423
0.0524,Cellline,RMS,RMS.C9,AKAP12,424
0.1222,Tumor,EWS,EWS.T1,AKAP12,425
0.2213,Tumor,EWS,EWS.T11,AKAP12,426
0.1385,Tumor,EWS,EWS.T12,AKAP12,427
0.3385,Tumor,EWS,EWS.T13,AKAP12,428
0.0823,Tumor,EWS,EWS.T14,AKAP12,429
0.1122,Tumor,EWS,EWS.T15,AKAP12,430
1.1203,Tumor,EWS,EWS.T19,AKAP12,431
0.2821,Tumor,EWS,EWS.T2,AKAP12,432
0.2536,Tumor,EWS,EWS.T3,AKAP12,433
0.4775,Tumor,EWS,EWS.T4,AKAP12,434
1.4653,Tumor,EWS,EWS.T6,AKAP12,435
0.0855,Tumor,EWS,EWS.T7,AKAP12,436
0.4299,Tumor,EWS,EWS.T9,AKAP12,437
0.132,Tumor,RMS,RMS.T1,AKAP12,438
1.085,Tumor,RMS,RMS.T10,AKAP12,439
0.2074,Tumor,RMS,RMS.T11,AKAP12,440
0.2527,Tumor,RMS,RMS.T2,AKAP12,441
0.8065,Tumor,RMS,RMS.T3,AKAP12,442
0.45,Tumor,RMS,RMS.T4,AKAP12,443
0.2969,Tumor,RMS,RMS.T5,AKAP12,444
0.3775,Tumor,RMS,RMS.T6,AKAP12,445
0.165,Tumor,RMS,RMS.T7,AKAP12,446
0.387,Tumor,RMS,RMS.T8,AKAP12,447
0.6359,Tumor,RMS,RMS.T9,AKAP12,448
0.4213,Cellline,BL-NHL,BL.C1,AKAP7,449
0.3753,Cellline,BL-NHL,BL.C2,AKAP7,450
0.3498,Cellline,BL-NHL,BL.C3,AKAP7,451
0.3909,Cellline,BL-NHL,BL.C4,AKAP7,452
0.3189,Cellline,BL-NHL,BL.C5,AKAP7,453
0.3536,Cellline,BL-NHL,BL.C6,AKAP7,454
0.4187,Cellline,BL-NHL,BL.C7,AKAP7,455
0.3268,Cellline,BL-NHL,BL.C8,AKAP7,456
0.3771,Cellline,EWS,EWS.C1,AKAP7,457
0.336,Cellline,EWS,EWS.C10,AKAP7,458
0.4618,Cellline,EWS,EWS.C11,AKAP7,459
0.889,Cellline,EWS,EWS.C2,AKAP7,460
3.8944,Cellline,EWS,EWS.C3,AKAP7,461
0.3135,Cellline,EWS,EWS.C4,AKAP7,462
0.3334,Cellline,EWS,EWS.C6,AKAP7,463
1.3216,Cellline,EWS,EWS.C7,AKAP7,464
0.5436,Cellline,EWS,EWS.C8,AKAP7,465
0.3125,Cellline,EWS,EWS.C9,AKAP7,466
0.2615,Cellline,NB,NB.C1,AKAP7,467
0.4633,Cellline,NB,NB.C10,AKAP7,468
0.2585,Cellline,NB,NB.C11,AKAP7,469
0.3934,Cellline,NB,NB.C12,AKAP7,470
0.3417,Cellline,NB,NB.C2,AKAP7,471
0.4984,Cellline,NB,NB.C3,AKAP7,472
0.2895,Cellline,NB,NB.C4,AKAP7,473
0.4312,Cellline,NB,NB.C5,AKAP7,474
0.2373,Cellline,NB,NB.C6,AKAP7,475
0.2332,Cellline,NB,NB.C7,AKAP7,476
0.395,Cellline,NB,NB.C8,AKAP7,477
0.3463,Cellline,NB,NB.C9,AKAP7,478
0.3282,Cellline,RMS,RMS.C10,AKAP7,479
0.3426,Cellline,RMS,RMS.C11,AKAP7,480
0.2897,Cellline,RMS,RMS.C2,AKAP7,481
0.3213,Cellline,RMS,RMS.C3,AKAP7,482
0.1019,Cellline,RMS,RMS.C4,AKAP7,483
0.5087,Cellline,RMS,RMS.C5,AKAP7,484
0.5352,Cellline,RMS,RMS.C6,AKAP7,485
0.3471,Cellline,RMS,RMS.C7,AKAP7,486
0.2629,Cellline,RMS,RMS.C8,AKAP7,487
0.1795,Cellline,RMS,RMS.C9,AKAP7,488
0.8073,Tumor,EWS,EWS.T1,AKAP7,489
0.4067,Tumor,EWS,EWS.T11,AKAP7,490
0.4705,Tumor,EWS,EWS.T12,AKAP7,491
0.2853,Tumor,EWS,EWS.T13,AKAP7,492
0.3657,Tumor,EWS,EWS.T14,AKAP7,493
